data,indicador,valor
2015-01-01,igpm,0.76
2015-02-01,igpm,0.27
2015-03-01,igpm,0.98
2015-04-01,igpm,1.17
2015-05-01,igpm,0.41
2015-06-01,igpm,0.67
2015-07-01,igpm,0.69
2015-08-01,igpm,0.28
2015-09-01,igpm,0.95
2015-10-01,igpm,1.89
2015-11-01,igpm,1.52
2015-12-01,igpm,0.49
2016-01-01,igpm,1.14
2016-02-01,igpm,1.29
2016-03-01,igpm,0.51
2016-04-01,igpm,0.33
2016-05-01,igpm,0.82
2016-06-01,igpm,1.69
2016-07-01,igpm,0.18
2016-08-01,igpm,0.15
2016-09-01,igpm,0.2
2016-10-01,igpm,0.16
2016-11-01,igpm,-0.03
2016-12-01,igpm,0.54
2017-01-01,igpm,0.64
2017-02-01,igpm,0.08
2017-03-01,igpm,0.01
2017-04-01,igpm,-1.1
2017-05-01,igpm,-0.93
2017-06-01,igpm,-0.67
2017-07-01,igpm,-0.72
2017-08-01,igpm,0.1
2017-09-01,igpm,0.47
2017-10-01,igpm,0.2
2017-11-01,igpm,0.52
2017-12-01,igpm,0.89
2018-01-01,igpm,0.76
2018-02-01,igpm,0.07
2018-03-01,igpm,0.64
2018-04-01,igpm,0.57
2018-05-01,igpm,1.38
2018-06-01,igpm,1.87
2018-07-01,igpm,0.51
2018-08-01,igpm,0.7
2018-09-01,igpm,1.52
2018-10-01,igpm,0.89
2018-11-01,igpm,-0.49
2018-12-01,igpm,-1.08
2019-01-01,igpm,0.01
2019-02-01,igpm,0.88
2019-03-01,igpm,1.26
2019-04-01,igpm,0.92
2019-05-01,igpm,0.45
2019-06-01,igpm,0.8
2019-07-01,igpm,0.4
2019-08-01,igpm,-0.67
2019-09-01,igpm,-0.01
2019-10-01,igpm,0.68
2019-11-01,igpm,0.3
2019-12-01,igpm,2.09
2020-01-01,igpm,0.48
2020-02-01,igpm,-0.04
2020-03-01,igpm,1.24
2020-04-01,igpm,0.8
2020-05-01,igpm,0.28
2020-06-01,igpm,1.56
2020-07-01,igpm,2.23
2020-08-01,igpm,2.74
2020-09-01,igpm,4.34
2020-10-01,igpm,3.23
2020-11-01,igpm,3.28
2020-12-01,igpm,0.96
2021-01-01,igpm,2.58
2021-02-01,igpm,2.53
2021-03-01,igpm,2.94
2021-04-01,igpm,1.51
2021-05-01,igpm,4.1
2021-06-01,igpm,0.6
2021-07-01,igpm,0.78
2021-08-01,igpm,0.66
2021-09-01,igpm,-0.64
2021-10-01,igpm,0.64
2021-11-01,igpm,0.02
2021-12-01,igpm,0.87
2022-01-01,igpm,1.82
2022-02-01,igpm,1.83
2022-03-01,igpm,1.74
2022-04-01,igpm,1.41
2022-05-01,igpm,0.52
2022-06-01,igpm,0.59
2022-07-01,igpm,0.21
2022-08-01,igpm,-0.7
2022-09-01,igpm,-0.95
2022-10-01,igpm,-0.97
2022-11-01,igpm,-0.56
2022-12-01,igpm,0.45
2023-01-01,igpm,0.21
2023-02-01,igpm,-0.06
2023-03-01,igpm,0.05
2023-04-01,igpm,-0.95
2023-05-01,igpm,-1.84
2023-06-01,igpm,-1.93
2023-07-01,igpm,-0.72
2023-08-01,igpm,-0.14
2023-09-01,igpm,0.37
2023-10-01,igpm,0.5
2023-11-01,igpm,0.59
2023-12-01,igpm,0.74
2024-01-01,igpm,0.07
2024-02-01,igpm,-0.52
2024-03-01,igpm,-0.47
2024-04-01,igpm,0.31
2024-05-01,igpm,0.89
2024-06-01,igpm,0.81
2024-07-01,igpm,0.61
2024-08-01,igpm,0.29
2024-09-01,igpm,0.62
2024-10-01,igpm,1.52
2024-11-01,igpm,1.3
2024-12-01,igpm,0.94
2025-01-01,igpm,0.27
2025-02-01,igpm,1.06
2025-03-01,igpm,-0.34
2025-04-01,igpm,0.24
2025-05-01,igpm,-0.49
2025-06-01,igpm,-1.67
2025-07-01,igpm,-0.77
2025-08-01,igpm,0.36
2025-09-01,igpm,0.42
2025-10-01,igpm,-0.36
2025-11-01,igpm,0.27
2025-12-01,igpm,-0.01
2026-01-01,igpm,0.41
